symbol,category,place,manner,voiced
a,vowel,notsure,resonance,voiced
æ,vowel,low-front,resonance,voiced
ɑ,vowel,low-back,resonance,voiced
e,vowel,mid-front,resonance,voiced
ə,vowel,low-central,resonance,voiced
ɛ,vowel,mid-front,resonance,voiced
ɜ,vowel,mid-central,resonance,voiced
i,vowel,high-front,resonance,voiced
ɪ,vowel,high-front,resonance,voiced
o,vowel,mid-back,resonance,voiced
ɔ,vowel,low-back,resonance,voiced
u,vowel,high-back,resonance,voiced
ʊ,vowel,high-back,resonance,voiced
ʌ,vowel,low-central,resonance,voiced
(,emphasis,none,none,none
),emphasis,none,none,none
ˈ,emphasis,none,none,none
ˌ,emphasis,none,none,none
b,consonant,bilabial,plosive,voiced
d,consonant,lingua-alveolar,plosive,voiced
ð,consonant,linguadental,fricative,voiced
ʤ,consonant,lingua-alveolar,affricates,voiced
f,consonant,labiodental,fricative,unvoiced
g,consonant,linguavelar,plosive,voiced
h,consonant,glottal,fricative,unvoiced
j,consonant,linguapalatal,glide,voiced
k,consonant,linguavelar,plosive,unvoiced
l,consonant,lingua-alveolar,glide,voiced
m,consonant,bilabial,nasal,voiced
n,consonant,lingua-alveolar,nasal,voiced
ŋ,consonant,linguavelar,nasal,voiced
p,consonant,bilabial,plosive,unvoiced
r,consonant,linguapalatal,glide,voiced
s,consonant,lingua-alveolar,fricative,unvoiced
ʃ,consonant,linguapalatal,fricative,unvoiced
t,consonant,lingua-alveolar,plosive,unvoiced
ʧ,consonant,lingua-alveolar,affricates,unvoiced
v,consonant,labiodental,fricative,voiced
w,consonant,bilabial,glide,voiced
z,consonant,lingua-alveolar,fricative,voiced
ʒ,consonant,linguapalatal,fricative,voiced
θ,consonant,linguadental,fricative,unvoiced
